Dates,Total Rating
2016_07_25 10_30,115188
2016_07_25 10_40,115188
2016_07_25 10_50,115188
2016_07_25 11_00,115188
2016_07_25 11_10,115324
2016_07_25 11_20,115324
2016_07_25 11_30,115324
2016_07_25 11_40,115324
2016_07_25 11_50,115324
2016_07_25 12_00,115324
2016_07_25 12_10,115324
2016_07_25 12_20,115324
2016_07_25 12_30,115324
2016_07_25 12_40,115324
2016_07_25 12_50,115324
2016_07_25 13_00,115324
2016_07_25 13_10,115324
2016_07_25 13_20,115324
2016_07_25 13_30,115324
2016_07_25 13_40,115324
2016_07_25 13_50,115324
2016_07_25 14_00,115324
2016_07_25 14_10,115324
2016_07_25 14_20,115324
2016_07_25 14_30,115324
2016_07_25 14_40,115324
2016_07_25 14_50,115324
2016_07_25 15_00,115753
2016_07_25 15_10,115753
2016_07_25 15_20,115753
2016_07_25 15_30,115753
2016_07_25 15_40,115753
2016_07_25 15_50,115753
2016_07_25 16_00,115753
2016_07_25 16_10,115753
2016_07_25 16_20,115753
2016_07_25 16_30,115753
2016_07_25 16_40,115753
2016_07_25 16_50,115753
2016_07_25 17_00,115753
2016_07_25 17_10,115753
2016_07_25 17_20,115753
2016_07_25 17_30,115753
2016_07_25 17_40,115753
2016_07_25 17_50,115753
2016_07_25 18_00,115753
2016_07_25 18_10,115753
2016_07_25 18_20,115753
2016_07_25 18_30,115753
2016_07_25 18_40,115753
2016_07_25 18_50,115753
2016_07_25 19_00,115753
2016_07_25 19_10,115753
2016_07_25 19_20,116113
2016_07_25 19_30,116113
2016_07_25 19_40,116113
2016_07_25 19_50,116113
2016_07_25 20_00,116113
2016_07_25 20_10,116113
2016_07_25 20_20,116113
2016_07_25 20_30,116113
2016_07_25 20_40,116113
2016_07_25 20_50,116113
2016_07_25 21_00,116113
2016_07_25 21_10,116113
2016_07_25 21_20,116113
2016_07_25 21_30,116113
2016_07_25 21_40,116113
2016_07_25 21_50,116113
2016_07_25 22_00,116113
2016_07_25 22_10,116113
2016_07_25 22_20,116113
2016_07_25 22_30,116113
2016_07_25 22_40,116113
2016_07_25 22_50,116113
2016_07_25 23_00,116113
2016_07_25 23_10,116113
2016_07_25 23_20,116413
2016_07_25 23_30,116413
2016_07_25 23_40,116413
2016_07_25 23_50,116413
2016_07_26 00_00,116413
2016_07_26 00_10,116413
2016_07_26 00_20,116413
2016_07_26 00_30,116413
2016_07_26 00_40,116413
2016_07_26 00_50,116413
2016_07_26 01_00,116413
2016_07_26 01_10,116413
2016_07_26 01_20,116413
2016_07_26 01_30,116413
2016_07_26 01_40,116413
2016_07_26 01_50,116413
2016_07_26 02_00,116413
2016_07_26 02_10,116413
2016_07_26 02_20,116413
2016_07_26 02_30,116413
2016_07_26 02_40,116413
2016_07_26 02_50,116413
2016_07_26 03_00,116413
2016_07_26 03_10,116671
2016_07_26 03_20,116413
2016_07_26 03_30,116671
2016_07_26 03_40,116671
