Dates,Total Rating
2016_07_24 05_30,1499762
2016_07_24 05_40,1499762
2016_07_24 05_50,1499762
2016_07_24 06_00,1499762
2016_07_24 06_10,1499762
2016_07_24 06_20,1499762
2016_07_24 06_30,1499762
2016_07_24 06_40,1499762
2016_07_24 06_50,1499762
2016_07_24 07_00,1499762
2016_07_24 07_10,1499762
2016_07_24 07_20,1499762
2016_07_24 07_30,1499762
2016_07_24 07_40,1499762
2016_07_24 07_50,1499762
2016_07_24 08_00,1499762
2016_07_24 08_10,1499762
2016_07_24 08_20,1499762
2016_07_24 08_30,1521851
2016_07_24 08_40,1521851
2016_07_24 08_50,1521851
2016_07_24 09_00,1521851
2016_07_24 09_10,1521851
2016_07_24 09_20,1521851
2016_07_24 09_30,1521851
2016_07_24 09_40,1521851
2016_07_24 09_50,1521851
2016_07_24 10_00,1521851
2016_07_24 10_10,1521851
2016_07_24 10_20,1521851
2016_07_24 10_30,1521851
2016_07_24 10_40,1521851
2016_07_24 10_50,1521851
2016_07_24 11_00,1521851
2016_07_24 11_10,1521851
2016_07_24 11_20,1521851
2016_07_24 11_30,1521851
2016_07_24 11_40,1521851
2016_07_24 11_50,1521851
2016_07_24 12_00,1521851
2016_07_24 12_10,1521851
2016_07_24 12_20,1521851
2016_07_24 12_30,1537958
2016_07_24 12_40,1537958
2016_07_24 12_50,1537958
2016_07_24 13_00,1537958
2016_07_24 13_10,1537958
2016_07_24 13_20,1537958
2016_07_24 13_30,1537958
2016_07_24 13_40,1537958
2016_07_24 13_50,1537958
2016_07_24 14_00,1537958
2016_07_24 14_10,1537958
2016_07_24 14_20,1537958
2016_07_24 14_30,1537958
2016_07_24 14_40,1537958
2016_07_24 14_50,1537958
2016_07_24 15_00,1537958
2016_07_24 15_10,1537958
2016_07_24 15_20,1537958
2016_07_24 15_30,1537958
2016_07_24 15_40,1537958
2016_07_24 15_50,1537958
2016_07_24 16_00,1537958
2016_07_24 16_10,1537958
2016_07_24 16_20,1537958
2016_07_24 16_30,1553903
2016_07_24 16_40,1553903
2016_07_24 16_50,1553903
2016_07_24 17_00,1553903
2016_07_24 17_10,1553903
2016_07_24 17_20,1553903
2016_07_24 17_30,1553903
2016_07_24 17_40,1553903
2016_07_24 17_50,1553903
2016_07_24 18_00,1553903
2016_07_24 18_10,1553903
2016_07_24 18_20,1553903
2016_07_24 18_30,1553903
2016_07_24 18_40,1553903
2016_07_24 18_50,1553903
2016_07_24 19_00,1553903
2016_07_24 19_10,1553903
2016_07_24 19_20,1553903
2016_07_24 19_30,1553903
2016_07_24 19_40,1553903
2016_07_24 19_50,1553903
2016_07_24 20_00,1553903
2016_07_24 20_10,1553903
2016_07_24 20_20,1553903
2016_07_24 20_30,1553903
2016_07_24 20_40,1563182
2016_07_24 20_50,1563182
2016_07_24 21_00,1563182
2016_07_24 21_10,1563182
